VERSE,SCRIPTURE
Verse 47,He destroyed their vines with hail and their sycamore-figs with sleet.  
Verse 48,"He gave over their cattle to the hail, their livestock to bolts of lightning.  "
Verse 49,"He unleashed against them his hot anger, his wrath, indignation and hostility— a band of destroying angels.  "
Verse 50,He prepared a path for his anger; he did not spare them from death but gave them over to the plague.  
Verse 51,"He struck down all the firstborn of Egypt, the firstfruits of manhood in the tents of Ham.  "
Verse 52,But he brought his people out like a flock; he led them like sheep through the wilderness.  
Verse 53,"He guided them safely, so they were unafraid; but the sea engulfed their enemies.  "
Verse 54,"And so he brought them to the border of his holy land, to the hill country his right hand had taken.  "
Verse 55,He drove out nations before them and allotted their lands to them as an inheritance; he settled the tribes of Israel in their homes.  
Verse 56,But they put God to the test and rebelled against the Most High; they did not keep his statutes.  
Verse 57,"Like their ancestors they were disloyal and faithless, as unreliable as a faulty bow.  "
Verse 58,They angered him with their high places; they aroused his jealousy with their idols.  
Verse 59,"When God heard them, he was furious; he rejected Israel completely.  "
Verse 60,"He abandoned the tabernacle of Shiloh, the tent he had set up among humans.  "
Verse 61,"He sent the ark of his might into captivity, his splendor into the hands of the enemy.  "
Verse 62,He gave his people over to the sword; he was furious with his inheritance.  
Verse 63,"Fire consumed their young men, and their young women had no wedding songs;  "
Verse 64,"their priests were put to the sword, and their widows could not weep.  "
Verse 65,"Then the Lord awoke as from sleep, as a warrior wakes from the stupor of wine.  "
Verse 66,He beat back his enemies; he put them to everlasting shame.  
Verse 67,"Then he rejected the tents of Joseph, he did not choose the tribe of Ephraim;  "
Verse 68,"but he chose the tribe of Judah, Mount Zion, which he loved.  "
Verse 69,"He built his sanctuary like the heights, like the earth that he established forever.  "
Verse 70,He chose David his servant and took him from the sheep pens;  
Verse 71,"from tending the sheep he brought him to be the shepherd of his people Jacob, of Israel his inheritance.  "
Verse 72,And David shepherded them with integrity of heart; with skillful hands he led them.
Verse 73,
Verse 1,"O God, the nations have invaded your inheritance; they have defiled your holy temple, they have reduced Jerusalem to rubble.  "
Verse 2,"They have left the dead bodies of your servants as food for the birds of the sky, the flesh of your own people for the animals of the wild.  "
Verse 3,"They have poured out blood like water all around Jerusalem, and there is no one to bury the dead.  "
Verse 4,"We are objects of contempt to our neighbors, of scorn and derision to those around us.  "
Verse 5,"How long, Lord? Will you be angry forever? How long will your jealousy burn like fire?  "
Verse 6,"Pour out your wrath on the nations that do not acknowledge you, on the kingdoms that do not call on your name;  "
Verse 7,for they have devoured Jacob and devastated his homeland.  
Verse 8,"Do not hold against us the sins of past generations; may your mercy come quickly to meet us, for we are in desperate need.  "
Verse 9,"Help us, God our Savior, for the glory of your name; deliver us and forgive our sins for your name’s sake.  "
Verse 10,"Why should the nations say, “Where is their God?” Before our eyes, make known among the nations that you avenge the outpoured blood of your servants.  "
Verse 11,May the groans of the prisoners come before you; with your strong arm preserve those condemned to die.  
Verse 12,"Pay back into the laps of our neighbors seven times the contempt they have hurled at you, Lord.  "
Verse 13,"Then we your people, the sheep of your pasture, will praise you forever; from generation to generation we will proclaim your praise."
Verse 1,"Hear us, Shepherd of Israel, you who lead Joseph like a flock. You who sit enthroned between the cherubim, shine forth "
Verse 2,"before Ephraim, Benjamin and Manasseh. Awaken your might; come and save us.  "
Verse 3,"Restore us, O God; make your face shine on us, that we may be saved.  "
Verse 4,"How long, Lord God Almighty, will your anger smolder against the prayers of your people?  "
Verse 5,You have fed them with the bread of tears; you have made them drink tears by the bowlful.  
Verse 6,"You have made us an object of derision#: Probable reading of the original Hebrew text; Masoretic Text contention to our neighbors, and our enemies mock us.  "
Verse 7,"Restore us, God Almighty; make your face shine on us, that we may be saved.  "
Verse 8,You transplanted a vine from Egypt; you drove out the nations and planted it.  
Verse 9,"You cleared the ground for it, and it took root and filled the land.  "
Verse 10,"The mountains were covered with its shade, the mighty cedars with its branches.  "
Verse 11,"Its branches reached as far as the Sea,#: Probably the Mediterranean its shoots as far as the River.#: That is, the Euphrates  "
Verse 12,Why have you broken down its walls so that all who pass by pick its grapes?  
Verse 13,"Boars from the forest ravage it, and insects from the fields feed on it.  "
Verse 14,"Return to us, God Almighty! Look down from heaven and see! Watch over this vine,  "
Verse 15,"the root your right hand has planted, the son#: Or branch you have raised up for yourself.  "
Verse 16,"Your vine is cut down, it is burned with fire; at your rebuke your people perish.  "
Verse 17,"Let your hand rest on the man at your right hand, the son of man you have raised up for yourself.  "
Verse 18,"Then we will not turn away from you; revive us, and we will call on your name.  "
Verse 19,"Restore us, Lord God Almighty; make your face shine on us, that we may be saved."
Verse 20,
Verse 21,
Verse 22,
Verse 23,
Verse 24,
Verse 1,Sing for joy to God our strength; shout aloud to the God of Jacob!  
Verse 2,"Begin the music, strike the timbrel, play the melodious harp and lyre.  "
Verse 3,"Sound the ram’s horn at the New Moon, and when the moon is full, on the day of our festival;  "
Verse 4,"this is a decree for Israel, an ordinance of the God of Jacob.  "
Verse 5,"When God went out against Egypt, he established it as a statute for Joseph. I heard an unknown voice say:  "
Verse 6,“I removed the burden from their shoulders; their hands were set free from the basket.  
Verse 7,"In your distress you called and I rescued you, I answered you out of a thundercloud; I tested you at the waters of Meribah.#: The Hebrew has Selah (a word of uncertain meaning) here.  "
Verse 8,"Hear me, my people, and I will warn you— if you would only listen to me, Israel!  "
Verse 9,You shall have no foreign god among you; you shall not worship any god other than me.  
Verse 10,"I am the Lord your God, who brought you up out of Egypt. Open wide your mouth and I will fill it.  "
Verse 11,“But my people would not listen to me; Israel would not submit to me.  
Verse 12,So I gave them over to their stubborn hearts to follow their own devices.  
Verse 13,"“If my people would only listen to me, if Israel would only follow my ways,  "
Verse 14,how quickly I would subdue their enemies and turn my hand against their foes!  
Verse 15,"Those who hate the Lord would cringe before him, and their punishment would last forever.  "
Verse 16,But you would be fed with the finest of wheat; with honey from the rock I would satisfy you.”
Verse 17,
Verse 18,
Verse 19,
Verse 1,God presides in the great assembly; he renders judgment among the “gods”:  
Verse 2,“How long will you#: The Hebrew is plural. defend the unjust and show partiality to the wicked?#: The Hebrew has Selah (a word of uncertain meaning) here.  
Verse 3,Defend the weak and the fatherless; uphold the cause of the poor and the oppressed.  
Verse 4,Rescue the weak and the needy; deliver them from the hand of the wicked.  
Verse 5,"“The ‘gods’ know nothing, they understand nothing. They walk about in darkness; all the foundations of the earth are shaken.  "
Verse 6,"“I said, ‘You are “gods”; you are all sons of the Most High.’  "
Verse 7,But you will die like mere mortals; you will fall like every other ruler.”  
Verse 8,"Rise up, O God, judge the earth, for all the nations are your inheritance."
Verse 9,
Verse 10,
Verse 1,"O God, do not remain silent; do not turn a deaf ear, do not stand aloof, O God.  "
Verse 2,"See how your enemies growl, how your foes rear their heads.  "
Verse 3,With cunning they conspire against your people; they plot against those you cherish.  
Verse 4,"“Come,” they say, “let us destroy them as a nation, so that Israel’s name is remembered no more.”  "
Verse 5,With one mind they plot together; they form an alliance against you—  
Verse 6,"the tents of Edom and the Ishmaelites, of Moab and the Hagrites,  "
Verse 7,"Byblos, Ammon and Amalek, Philistia, with the people of Tyre.  "
Verse 8,Even Assyria has joined them to reinforce Lot’s descendants.#: The Hebrew has Selah (a word of uncertain meaning) here.  
Verse 9,"Do to them as you did to Midian, as you did to Sisera and Jabin at the river Kishon,  "
Verse 10,who perished at Endor and became like dung on the ground.  
Verse 11,"Make their nobles like Oreb and Zeeb, all their princes like Zebah and Zalmunna,  "
Verse 12,"who said, “Let us take possession of the pasturelands of God.”  "
Verse 13,"Make them like tumbleweed, my God, like chaff before the wind.  "
Verse 14,"As fire consumes the forest or a flame sets the mountains ablaze,  "
Verse 15,so pursue them with your tempest and terrify them with your storm.  
Verse 16,"Cover their faces with shame, Lord, so that they will seek your name.  "
Verse 17,May they ever be ashamed and dismayed; may they perish in disgrace.  
Verse 18,"Let them know that you, whose name is the Lord— that you alone are the Most High over all the earth."
Verse 19,
Verse 20,
Verse 1,"How lovely is your dwelling place,  Lord Almighty!  "
Verse 2,"My soul yearns, even faints, for the courts of the Lord; my heart and my flesh cry out for the living God.  "
Verse 3,"Even the sparrow has found a home, and the swallow a nest for herself, where she may have her young— a place near your altar,  Lord Almighty, my King and my God.  "
Verse 4,Blessed are those who dwell in your house; they are ever praising you.#: The Hebrew has Selah (a word of uncertain meaning) here and at the end of verse .  
Verse 5,"Blessed are those whose strength is in you, whose hearts are set on pilgrimage.  "
Verse 6,"As they pass through the Valley of Baka, they make it a place of springs; the autumn rains also cover it with pools.#: Or blessings  "
Verse 7,"They go from strength to strength, till each appears before God in Zion.  "
Verse 8,"Hear my prayer, Lord God Almighty; listen to me, God of Jacob.  "
Verse 9,"Look on our shield,#: Or sovereign O God; look with favor on your anointed one.  "
Verse 10,Better is one day in your courts than a thousand elsewhere; I would rather be a doorkeeper in the house of my God than dwell in the tents of the wicked.  
Verse 11,For the Lord God is a sun and shield; the Lord bestows favor and honor; no good thing does he withhold from those whose walk is blameless.  
Verse 12," Lord Almighty, blessed is the one who trusts in you."
Verse 13,
Verse 14,
Verse 15,
Verse 16,
Verse 17,
Verse 1,"You, Lord, showed favor to your land; you restored the fortunes of Jacob.  "
Verse 2,You forgave the iniquity of your people and covered all their sins.#: The Hebrew has Selah (a word of uncertain meaning) here.  
Verse 3,You set aside all your wrath and turned from your fierce anger.  
Verse 4,"Restore us again, God our Savior, and put away your displeasure toward us.  "
Verse 5,Will you be angry with us forever? Will you prolong your anger through all generations?  
Verse 6,"Will you not revive us again, that your people may rejoice in you?  "
Verse 7,"Show us your unfailing love, Lord, and grant us your salvation.  "
Verse 8,"I will listen to what God the Lord says; he promises peace to his people, his faithful servants— but let them not turn to folly.  "
Verse 9,"Surely his salvation is near those who fear him, that his glory may dwell in our land.  "
Verse 10,Love and faithfulness meet together; righteousness and peace kiss each other.  
Verse 11,"Faithfulness springs forth from the earth, and righteousness looks down from heaven.  "
Verse 12,"The Lord will indeed give what is good, and our land will yield its harvest.  "
Verse 13,Righteousness goes before him and prepares the way for his steps.
Verse 14,
Verse 15,
Verse 1,"Hear me, Lord, and answer me, for I am poor and needy.  "
Verse 2,"Guard my life, for I am faithful to you; save your servant who trusts in you. You are my God; "
Verse 3,"have mercy on me, Lord, for I call to you all day long.  "
Verse 4,"Bring joy to your servant, Lord, for I put my trust in you.  "
Verse 5,"You, Lord, are forgiving and good, abounding in love to all who call to you.  "
Verse 6,"Hear my prayer, Lord; listen to my cry for mercy.  "
Verse 7,"When I am in distress, I call to you, because you answer me.  "
Verse 8,"Among the gods there is none like you, Lord; no deeds can compare with yours.  "
Verse 9,"All the nations you have made will come and worship before you, Lord; they will bring glory to your name.  "
Verse 10,For you are great and do marvelous deeds; you alone are God.  
Verse 11,"Teach me your way, Lord, that I may rely on your faithfulness; give me an undivided heart, that I may fear your name.  "
Verse 12,"I will praise you, Lord my God, with all my heart; I will glorify your name forever.  "
Verse 13,"For great is your love toward me; you have delivered me from the depths, from the realm of the dead.  "
Verse 14,"Arrogant foes are attacking me, O God; ruthless people are trying to kill me— they have no regard for you.  "
Verse 15,"But you, Lord, are a compassionate and gracious God, slow to anger, abounding in love and faithfulness.  "
Verse 16,"Turn to me and have mercy on me; show your strength in behalf of your servant; save me, because I serve you just as my mother did.  "
Verse 17,"Give me a sign of your goodness, that my enemies may see it and be put to shame, for you, Lord, have helped me and comforted me."
Verse 1,He has founded his city on the holy mountain.  
Verse 2,The Lord loves the gates of Zion more than all the other dwellings of Jacob.  
Verse 3,"Glorious things are said of you, city of God:#: The Hebrew has Selah (a word of uncertain meaning) here and at the end of verse .  "
Verse 4,"“I will record Rahab#: A poetic name for Egypt and Babylon among those who acknowledge me— Philistia too, and Tyre, along with Cush#: That is, the upper Nile region— and will say, ‘This one was born in Zion.’ ”#: Or “I will record concerning those who acknowledge me: / ‘This one was born in Zion.’ / Hear this, Rahab and Babylon, / and you too, Philistia, Tyre and Cush.”  "
Verse 5,"Indeed, of Zion it will be said, “This one and that one were born in her, and the Most High himself will establish her.”  "
Verse 6,The Lord will write in the register of the peoples: “This one was born in Zion.”  
Verse 7,"As they make music they will sing, “All my fountains are in you.”"
Verse 8,
Verse 9,
Verse 10,
Verse 11,
Verse 1," Lord, you are the God who saves me; day and night I cry out to you.  "
Verse 2,May my prayer come before you; turn your ear to my cry.  
Verse 3,I am overwhelmed with troubles and my life draws near to death.  
Verse 4,I am counted among those who go down to the pit; I am like one without strength.  
Verse 5,"I am set apart with the dead, like the slain who lie in the grave, whom you remember no more, who are cut off from your care.  "
Verse 6,"You have put me in the lowest pit, in the darkest depths.  "
Verse 7,Your wrath lies heavily on me; you have overwhelmed me with all your waves.#: The Hebrew has Selah (a word of uncertain meaning) here and at the end of verse .  
Verse 8,You have taken from me my closest friends and have made me repulsive to them. I am confined and cannot escape;  
Verse 9,"my eyes are dim with grief. I call to you, Lord, every day; I spread out my hands to you.  "
Verse 10,Do you show your wonders to the dead? Do their spirits rise up and praise you?  
Verse 11,"Is your love declared in the grave, your faithfulness in Destruction#: Hebrew Abaddon?  "
Verse 12,"Are your wonders known in the place of darkness, or your righteous deeds in the land of oblivion?  "
Verse 13,"But I cry to you for help, Lord; in the morning my prayer comes before you.  "
Verse 14,"Why, Lord, do you reject me and hide your face from me?  "
Verse 15,From my youth I have suffered and been close to death; I have borne your terrors and am in despair.  
Verse 16,Your wrath has swept over me; your terrors have destroyed me.  
Verse 17,All day long they surround me like a flood; they have completely engulfed me.  
Verse 18,You have taken from me friend and neighbor— darkness is my closest friend.
Verse 19,
Verse 20,
Verse 21,
Verse 22,
Verse 23,
Verse 1,I will sing of the Lord’s great love forever; with my mouth I will make your faithfulness known through all generations.  
Verse 2,"I will declare that your love stands firm forever, that you have established your faithfulness in heaven itself.  "
Verse 3,"You said, “I have made a covenant with my chosen one, I have sworn to David my servant,  "
Verse 4,"‘I will establish your line forever and make your throne firm through all generations.’ ”#: The Hebrew has Selah (a word of uncertain meaning) here and at the end of verses ,  and .  "
Verse 5,"The heavens praise your wonders, Lord, your faithfulness too, in the assembly of the holy ones.  "
Verse 6,For who in the skies above can compare with the Lord? Who is like the Lord among the heavenly beings?  
Verse 7,In the council of the holy ones God is greatly feared; he is more awesome than all who surround him.  
Verse 8,"Who is like you, Lord God Almighty? You, Lord, are mighty, and your faithfulness surrounds you.  "
Verse 9,"You rule over the surging sea; when its waves mount up, you still them.  "
Verse 10,You crushed Rahab like one of the slain; with your strong arm you scattered your enemies.  
Verse 11,"The heavens are yours, and yours also the earth; you founded the world and all that is in it.  "
Verse 12,You created the north and the south; Tabor and Hermon sing for joy at your name.  
Verse 13,"Your arm is endowed with power; your hand is strong, your right hand exalted.  "
Verse 14,Righteousness and justice are the foundation of your throne; love and faithfulness go before you.  
Verse 15,"Blessed are those who have learned to acclaim you, who walk in the light of your presence, Lord.  "
Verse 16,They rejoice in your name all day long; they celebrate your righteousness.  
Verse 17,"For you are their glory and strength, and by your favor you exalt our horn.#: Horn here symbolizes strong one.  "
Verse 18,"Indeed, our shield#: Or sovereign belongs to the Lord, our king to the Holy One of Israel.  "
Verse 19,"Once you spoke in a vision, to your faithful people you said: “I have bestowed strength on a warrior; I have raised up a young man from among the people.  "
Verse 20,I have found David my servant; with my sacred oil I have anointed him.  
Verse 21,My hand will sustain him; surely my arm will strengthen him.  
Verse 22,The enemy will not get the better of him; the wicked will not oppress him.  
Verse 23,I will crush his foes before him and strike down his adversaries.  
Verse 24,"My faithful love will be with him, and through my name his horn#: Horn here symbolizes strength. will be exalted.  "
Verse 25,"I will set his hand over the sea, his right hand over the rivers.  "
Verse 26,"He will call out to me, ‘You are my Father, my God, the Rock my Savior.’  "
Verse 27,"And I will appoint him to be my firstborn, the most exalted of the kings of the earth.  "
Verse 28,"I will maintain my love to him forever, and my covenant with him will never fail.  "
Verse 29,"I will establish his line forever, his throne as long as the heavens endure.  "
Verse 30,"“If his sons forsake my law and do not follow my statutes,  "
Verse 31,"if they violate my decrees and fail to keep my commands,  "
Verse 32,"I will punish their sin with the rod, their iniquity with flogging;  "
Verse 33,"but I will not take my love from him, nor will I ever betray my faithfulness.  "
Verse 34,I will not violate my covenant or alter what my lips have uttered.  
Verse 35,"Once for all, I have sworn by my holiness— and I will not lie to David—  "
Verse 36,that his line will continue forever and his throne endure before me like the sun;  
Verse 37,"it will be established forever like the moon, the faithful witness in the sky.”  "
Verse 38,"But you have rejected, you have spurned, you have been very angry with your anointed one.  "
Verse 39,You have renounced the covenant with your servant and have defiled his crown in the dust.  
Verse 40,You have broken through all his walls and reduced his strongholds to ruins.  
Verse 41,All who pass by have plundered him; he has become the scorn of his neighbors.  
Verse 42,You have exalted the right hand of his foes; you have made all his enemies rejoice.  
Verse 43,"Indeed, you have turned back the edge of his sword and have not supported him in battle.  "
Verse 44,You have put an end to his splendor and cast his throne to the ground.  
Verse 45,You have cut short the days of his youth; you have covered him with a mantle of shame.  
Verse 46,"How long, Lord? Will you hide yourself forever? How long will your wrath burn like fire?  "
Verse 47,Remember how fleeting is my life. For what futility you have created all humanity!  
Verse 48,"Who can live and not see death, or who can escape the power of the grave?  "
Verse 49,"Lord, where is your former great love, which in your faithfulness you swore to David?  "
Verse 50,"Remember, Lord, how your servant has#: Or your servants have been mocked, how I bear in my heart the taunts of all the nations,  "
Verse 51,"the taunts with which your enemies, Lord, have mocked, with which they have mocked every step of your anointed one.  "
Verse 52,Praise be to the Lord forever! Amen and Amen.
Verse 53,
Verse 54,
Verse 55,
Verse 56,
Verse 57,
Verse 58,
Verse 59,
Verse 1,"Lord, you have been our dwelling place throughout all generations.  "
Verse 2,"Before the mountains were born or you brought forth the whole world, from everlasting to everlasting you are God.  "
Verse 3,"You turn people back to dust, saying, “Return to dust, you mortals.”  "
Verse 4,"A thousand years in your sight are like a day that has just gone by, or like a watch in the night.  "
Verse 5,Yet you sweep people away in the sleep of death— they are like the new grass of the morning:  
Verse 6,"In the morning it springs up new, but by evening it is dry and withered.  "
Verse 7,We are consumed by your anger and terrified by your indignation.  
Verse 8,"You have set our iniquities before you, our secret sins in the light of your presence.  "
Verse 9,All our days pass away under your wrath; we finish our years with a moan.  
Verse 10,"Our days may come to seventy years, or eighty, if our strength endures; yet the best of them are but trouble and sorrow, for they quickly pass, and we fly away.  "
Verse 11,If only we knew the power of your anger! Your wrath is as great as the fear that is your due.  
Verse 12,"Teach us to number our days, that we may gain a heart of wisdom.  "
Verse 13,"Relent, Lord! How long will it be? Have compassion on your servants.  "
Verse 14,"Satisfy us in the morning with your unfailing love, that we may sing for joy and be glad all our days.  "
Verse 15,"Make us glad for as many days as you have afflicted us, for as many years as we have seen trouble.  "
Verse 16,"May your deeds be shown to your servants, your splendor to their children.  "
Verse 17,"May the favor#: Or beauty of the Lord our God rest on us; establish the work of our hands for us— yes, establish the work of our hands."
Verse 18,
Verse 1,Whoever dwells in the shelter of the Most High will rest in the shadow of the Almighty.#: Hebrew Shaddai  
Verse 2,"I will say of the Lord, “He is my refuge and my fortress, my God, in whom I trust.”  "
Verse 3,Surely he will save you from the fowler’s snare and from the deadly pestilence.  
Verse 4,"He will cover you with his feathers, and under his wings you will find refuge; his faithfulness will be your shield and rampart.  "
Verse 5,"You will not fear the terror of night, nor the arrow that flies by day,  "
Verse 6,"nor the pestilence that stalks in the darkness, nor the plague that destroys at midday.  "
Verse 7,"A thousand may fall at your side, ten thousand at your right hand, but it will not come near you.  "
Verse 8,You will only observe with your eyes and see the punishment of the wicked.  
Verse 9,"If you say, “The Lord is my refuge,” and you make the Most High your dwelling,  "
Verse 10,"no harm will overtake you, no disaster will come near your tent.  "
Verse 11,For he will command his angels concerning you to guard you in all your ways;  
Verse 12,"they will lift you up in their hands, so that you will not strike your foot against a stone.  "
Verse 13,You will tread on the lion and the cobra; you will trample the great lion and the serpent.  
Verse 14,"“Because he#: That is, probably the king loves me,” says the Lord, “I will rescue him; I will protect him, for he acknowledges my name.  "
Verse 15,"He will call on me, and I will answer him; I will be with him in trouble, I will deliver him and honor him.  "
Verse 16,With long life I will satisfy him and show him my salvation.”
Verse 17,
Verse 18,
Verse 1,"It is good to praise the Lord and make music to your name, O Most High,  "
Verse 2,"proclaiming your love in the morning and your faithfulness at night,  "
Verse 3,to the music of the ten-stringed lyre and the melody of the harp.  
Verse 4,"For you make me glad by your deeds, Lord; I sing for joy at what your hands have done.  "
Verse 5,"How great are your works, Lord, how profound your thoughts!  "
Verse 6,"Senseless people do not know, fools do not understand,  "
Verse 7,"that though the wicked spring up like grass and all evildoers flourish, they will be destroyed forever.  "
Verse 8,"But you, Lord, are forever exalted.  "
Verse 9,"For surely your enemies, Lord, surely your enemies will perish; all evildoers will be scattered.  "
Verse 10,You have exalted my horn#: Horn here symbolizes strength. like that of a wild ox; fine oils have been poured on me.  
Verse 11,My eyes have seen the defeat of my adversaries; my ears have heard the rout of my wicked foes.  
Verse 12,"The righteous will flourish like a palm tree, they will grow like a cedar of Lebanon;  "
Verse 13,"planted in the house of the Lord, they will flourish in the courts of our God.  "
Verse 14,"They will still bear fruit in old age, they will stay fresh and green,  "
Verse 15,"proclaiming, “The Lord is upright; he is my Rock, and there is no wickedness in him.”"
Verse 16,
Verse 17,
Verse 1,"The Lord reigns, he is robed in majesty; the Lord is robed in majesty and armed with strength; indeed, the world is established, firm and secure.  "
Verse 2,Your throne was established long ago; you are from all eternity.  
Verse 3,"The seas have lifted up, Lord, the seas have lifted up their voice; the seas have lifted up their pounding waves.  "
Verse 4,"Mightier than the thunder of the great waters, mightier than the breakers of the sea— the Lord on high is mighty.  "
Verse 5,"Your statutes, Lord, stand firm; holiness adorns your house for endless days."
Verse 1,"The Lord is a God who avenges. O God who avenges, shine forth.  "
Verse 2,"Rise up, Judge of the earth; pay back to the proud what they deserve.  "
Verse 3,"How long, Lord, will the wicked, how long will the wicked be jubilant?  "
Verse 4,They pour out arrogant words; all the evildoers are full of boasting.  
Verse 5,"They crush your people, Lord; they oppress your inheritance.  "
Verse 6,They slay the widow and the foreigner; they murder the fatherless.  
Verse 7,"They say, “The Lord does not see; the God of Jacob takes no notice.”  "
Verse 8,"Take notice, you senseless ones among the people; you fools, when will you become wise?  "
Verse 9,Does he who fashioned the ear not hear? Does he who formed the eye not see?  
Verse 10,Does he who disciplines nations not punish? Does he who teaches mankind lack knowledge?  
Verse 11,The Lord knows all human plans; he knows that they are futile.  
Verse 12,"Blessed is the one you discipline, Lord, the one you teach from your law;  "
Verse 13,"you grant them relief from days of trouble, till a pit is dug for the wicked.  "
Verse 14,For the Lord will not reject his people; he will never forsake his inheritance.  
Verse 15,"Judgment will again be founded on righteousness, and all the upright in heart will follow it.  "
Verse 16,Who will rise up for me against the wicked? Who will take a stand for me against evildoers?  
Verse 17,"Unless the Lord had given me help, I would soon have dwelt in the silence of death.  "
Verse 18,"When I said, “My foot is slipping,” your unfailing love, Lord, supported me.  "
Verse 19,"When anxiety was great within me, your consolation brought me joy.  "
Verse 20,Can a corrupt throne be allied with you— a throne that brings on misery by its decrees?  
Verse 21,The wicked band together against the righteous and condemn the innocent to death.  
Verse 22,"But the Lord has become my fortress, and my God the rock in whom I take refuge.  "
Verse 23,He will repay them for their sins and destroy them for their wickedness; the Lord our God will destroy them.
Verse 1,"Come, let us sing for joy to the Lord; let us shout aloud to the Rock of our salvation.  "
Verse 2,Let us come before him with thanksgiving and extol him with music and song.  
Verse 3,"For the Lord is the great God, the great King above all gods.  "
Verse 4,"In his hand are the depths of the earth, and the mountain peaks belong to him.  "
Verse 5,"The sea is his, for he made it, and his hands formed the dry land.  "
Verse 6,"Come, let us bow down in worship, let us kneel before the Lord our Maker;  "
Verse 7,"for he is our God and we are the people of his pasture, the flock under his care. Today, if only you would hear his voice,  "
Verse 8,"“Do not harden your hearts as you did at Meribah,#: Meribah means quarreling. as you did that day at Massah#: Massah means testing. in the wilderness,  "
Verse 9,"where your ancestors tested me; they tried me, though they had seen what I did.  "
Verse 10,"For forty years I was angry with that generation; I said, ‘They are a people whose hearts go astray, and they have not known my ways.’  "
Verse 11,"So I declared on oath in my anger, ‘They shall never enter my rest.’ ”"
Verse 12,
Verse 13,
Verse 1,"Sing to the Lord a new song; sing to the Lord, all the earth.  "
Verse 2,"Sing to the Lord, praise his name; proclaim his salvation day after day.  "
Verse 3,"Declare his glory among the nations, his marvelous deeds among all peoples.  "
Verse 4,For great is the Lord and most worthy of praise; he is to be feared above all gods.  
Verse 5,"For all the gods of the nations are idols, but the Lord made the heavens.  "
Verse 6,Splendor and majesty are before him; strength and glory are in his sanctuary.  
Verse 7,"Ascribe to the Lord, all you families of nations, ascribe to the Lord glory and strength.  "
Verse 8,Ascribe to the Lord the glory due his name; bring an offering and come into his courts.  
Verse 9,"Worship the Lord in the splendor of his#: Or Lord with the splendor of holiness; tremble before him, all the earth.  "
Verse 10,"Say among the nations, “The Lord reigns.” The world is firmly established, it cannot be moved; he will judge the peoples with equity.  "
Verse 11,"Let the heavens rejoice, let the earth be glad; let the sea resound, and all that is in it.  "
Verse 12,"Let the fields be jubilant, and everything in them; let all the trees of the forest sing for joy.  "
Verse 13,"Let all creation rejoice before the Lord, for he comes, he comes to judge the earth. He will judge the world in righteousness and the peoples in his faithfulness."
Verse 14,
Verse 1,"The Lord reigns, let the earth be glad; let the distant shores rejoice.  "
Verse 2,Clouds and thick darkness surround him; righteousness and justice are the foundation of his throne.  
Verse 3,Fire goes before him and consumes his foes on every side.  
Verse 4,His lightning lights up the world; the earth sees and trembles.  
Verse 5,"The mountains melt like wax before the Lord, before the Lord of all the earth.  "
Verse 6,"The heavens proclaim his righteousness, and all peoples see his glory.  "
Verse 7,"All who worship images are put to shame, those who boast in idols— worship him, all you gods!  "
Verse 8,"Zion hears and rejoices and the villages of Judah are glad because of your judgments, Lord.  "
Verse 9,"For you, Lord, are the Most High over all the earth; you are exalted far above all gods.  "
Verse 10,"Let those who love the Lord hate evil, for he guards the lives of his faithful ones and delivers them from the hand of the wicked.  "
Verse 11,Light shines#: One Hebrew manuscript and ancient versions (see also :); most Hebrew manuscripts Light is sown on the righteous and joy on the upright in heart.  
Verse 12,"Rejoice in the Lord, you who are righteous, and praise his holy name."
Verse 13,
Verse 1,"Sing to the Lord a new song, for he has done marvelous things; his right hand and his holy arm have worked salvation for him.  "
Verse 2,The Lord has made his salvation known and revealed his righteousness to the nations.  
Verse 3,He has remembered his love and his faithfulness to Israel; all the ends of the earth have seen the salvation of our God.  
Verse 4,"Shout for joy to the Lord, all the earth, burst into jubilant song with music;  "
Verse 5,"make music to the Lord with the harp, with the harp and the sound of singing,  "
Verse 6,"with trumpets and the blast of the ram’s horn— shout for joy before the Lord, the King.  "
Verse 7,"Let the sea resound, and everything in it, the world, and all who live in it.  "
Verse 8,"Let the rivers clap their hands, let the mountains sing together for joy;  "
Verse 9,"let them sing before the Lord, for he comes to judge the earth. He will judge the world in righteousness and the peoples with equity."
Verse 1,"The Lord reigns, let the nations tremble; he sits enthroned between the cherubim, let the earth shake.  "
Verse 2,Great is the Lord in Zion; he is exalted over all the nations.  
Verse 3,Let them praise your great and awesome name— he is holy.  
Verse 4,"The King is mighty, he loves justice— you have established equity; in Jacob you have done what is just and right.  "
Verse 5,Exalt the Lord our God and worship at his footstool; he is holy.  
Verse 6,"Moses and Aaron were among his priests, Samuel was among those who called on his name; they called on the Lord and he answered them.  "
Verse 7,He spoke to them from the pillar of cloud; they kept his statutes and the decrees he gave them.  
Verse 8," Lord our God, you answered them; you were to Israel a forgiving God, though you punished their misdeeds.#: Or God, / an avenger of the wrongs done to them  "
Verse 9,"Exalt the Lord our God and worship at his holy mountain, for the Lord our God is holy."
Verse 10,
Verse 1,"Shout for joy to the Lord, all the earth.  "
Verse 2,Worship the Lord with gladness; come before him with joyful songs.  
